TIME,Oy,Ox,Dy,Dx,Q,CITY
36706.0,118.154734,24.526003,117.721359,24.512856,1,0
36729.0,118.139962,24.474131,117.668836,24.510306,1,0
36735.0,118.137575,24.491232,117.63854,24.519549,1,0
36764.0,118.091015,24.490142,117.683514,24.50976,1,0
36789.0,118.171479,24.530486,117.661731,24.509873,1,0
36811.0,117.677727,24.497014,118.1407,24.504397,1,1
36821.0,118.041102,24.493781,117.641823,24.53434,1,0
36914.0,117.651661,24.503924,118.179767,24.482474,1,1
37010.0,118.133153,24.480536,117.688101,24.496167,1,0
37039.0,118.114793,24.470875,117.627397,24.5214,1,0
37051.0,117.667161,24.50528,118.067612,24.571076,1,1
37123.0,117.655537,24.505847,118.165388,24.506577,1,1
37151.0,118.190989,24.525952,117.695101,24.510301,1,0
37155.0,118.104119,24.508702,117.695928,24.522431,1,0
37181.0,117.68223,24.517026,118.102195,24.472984,1,1
37200.0,117.638066,24.505287,118.149161,24.494286,1,1
37200.0,117.748571,24.502382,118.117366,24.528115,1,1
37200.0,118.1237,24.535363,117.684235,24.507851,1,0
37220.0,117.682608,24.494727,118.130314,24.422637,1,1
37229.0,118.084318,24.456393,117.653608,24.501306,1,0
37283.0,117.7531,24.482958,118.111979,24.467715,1,1
37347.0,117.661032,24.513469,118.035433,24.563133,1,1
37355.0,117.663063,24.504124,118.120772,24.546954,1,1
37359.0,118.139962,24.474131,117.668836,24.510306,1,0
37360.0,117.741118,24.494625,118.10242,24.573234,1,1
37409.0,118.066766,24.559337,117.687436,24.505898,1,0
37417.0,117.628915,24.511201,118.171845,24.537606,1,1
37430.0,118.150694,24.489458,117.687355,24.49317,1,0
37655.0,118.061965,24.571886,117.707723,24.514566,1,0
37676.0,118.155532,24.501676,117.680415,24.504634,1,0
37800.0,117.714698,24.50797,118.142244,24.53721,1,1
37800.0,118.128071,24.481996,117.639375,24.520311,1,0
37800.0,117.65683,24.509013,118.055314,24.482024,1,1
37800.0,117.651661,24.503924,118.062204,24.568353,1,1
37800.0,118.183004,24.470919,117.640207,24.547375,1,0
37800.0,117.681734,24.491544,118.116977,24.472019,1,1
37884.0,118.146486,24.472916,117.665347,24.510817,1,0
37920.0,118.109119,24.457481,117.65112,24.50979,1,0
37969.0,117.651661,24.503924,118.123917,24.500652,1,1
38114.0,117.661032,24.513469,118.085336,24.453223,1,1
38122.0,118.120456,24.469996,117.635731,24.515248,1,0
38155.0,117.666041,24.515697,118.111853,24.470016,1,1
38179.0,117.638104,24.505262,118.087944,24.452937,4,1
38274.0,118.086243,24.459504,117.678487,24.511793,1,0
38347.0,118.171649,24.469531,117.653096,24.500688,1,0
38350.0,117.704007,24.507504,118.103057,24.502651,2,1
38400.0,118.152323,24.542164,117.717004,24.518618,1,0
38467.0,118.107306,24.466769,117.706689,24.495121,1,0
38512.0,117.691477,24.509204,118.192931,24.496335,1,1
38582.0,117.65166,24.51208,118.157537,24.528811,1,1
