,TIME,Oy,Ox,Dy,Dx,Q,CITY
1125,44751.0,118.193588,25.053282,118.092841,24.44819,1,1
1126,44779.0,118.097579,24.570666,118.212446,25.063386,1,0
1129,44830.0,118.182386,24.474953,118.007456,25.009528,1,0
1130,44865.0,117.950345,25.016564,118.19251,24.522922,1,1
1131,44878.0,118.190431,25.049293,118.102663,24.488368,1,1
1132,44881.0,118.191928,25.037875,118.123204,24.5147,1,1
1135,44950.0,118.005121,24.999133,118.09298,24.461223,1,1
1151,45000.0,118.192538,25.044891,118.129717,24.505655,1,1
1140,45000.0,118.003814,24.998624,118.09298,24.461223,1,1
1136,45000.0,118.165337,24.528933,118.194028,25.036889,1,0
1139,45000.0,118.236162,25.063528,118.163166,24.538075,1,1
1141,45000.0,118.200907,25.045821,118.14278,24.515578,1,1
1146,45000.0,118.050562,25.230482,118.105526,24.572644,2,1
1150,45000.0,118.199762,25.039574,118.152415,24.528681,1,1
1143,45000.0,118.182792,25.055632,118.143373,24.489629,1,1
1145,45000.0,118.197221,25.045417,118.153737,24.525408,1,1
1142,45000.0,118.202905,25.06646,118.127249,24.500254,1,1
1144,45000.0,117.951082,25.018882,118.129907,24.494231,2,1
1152,45023.0,118.045219,25.221812,118.079019,24.633511,1,1
1154,45087.0,118.145101,24.485233,118.073226,25.018177,1,0
1155,45099.0,118.09018,24.955137,118.15498,24.508785,1,1
1156,45100.0,118.01181,25.01498,118.09516,24.58229,1,1
1157,45116.0,118.175588,25.055604,118.07044,24.5618,2,1
1158,45145.0,118.144041,24.49014,118.004555,24.99909,1,0
1160,45180.0,118.182386,24.474953,117.994706,24.997565,1,0
1162,45276.0,118.051678,25.224098,118.047255,24.612908,1,1
1163,45292.0,118.163937,24.507302,118.007459,25.009528,2,0
